path,method,uncompressed_size,compressed_size,data_offset
ABBS/sys/newuser/ansi,-lh5-,404,225,425902
ABBS/sys/newuser/Archives,-lh5-,352,94,426187
ABBS/sys/newuser/color,-lh5-,248,151,426338
ABBS/sys/newuser/expertlevel,-lh5-,140,113,426552
ABBS/sys/newuser/length,-lh5-,83,72,426723
ABBS/sys/newuser/Protocol,-lh5-,351,129,426855
ABBS/sys/newuser/WELCOME,-lh5-,88,70,427043
ABBS/sys/pack.arc,-lh0-,133,133,427165
ABBS/sys/pack.lha,-lh0-,126,126,427350
ABBS/sys/pack.lzh,-lh0-,129,129,427528
ABBS/sys/pack.zip,-lh0-,244,244,427709
ABBS/sys/pack.zoo,-lh0-,141,141,428005
ABBS/sys/Questionnaire.ABBS,-lh5-,722,320,428208
ABBS/sys/shell-startup,-lh5-,118,113,428585
ABBS/sys/Upload.script,-lh5-,662,238,428755
ABBS/sys/view,-lh5-,374,163,429041
ABBS/Text/boardstat_,-lh5-,601,195,429259
ABBS/Text/BulletinHelp,-lh5-,270,143,429511
ABBS/Text/charsetlist,-lh5-,1030,432,429710
ABBS/Text/charsetlist.ansi,-lh5-,340,130,430203
ABBS/Text/chatmenu,-lh5-,527,157,430386
ABBS/Text/chatmenu.ansi,-lh5-,504,184,430601
ABBS/Text/chatmenu.raw,-lh5-,644,227,430842
ABBS/Text/conferencelist,-lh5-,97,85,431128
ABBS/Text/Conf_text/FILEINFO,-lh5-,940,231,431276
ABBS/Text/Conf_text/NEWS,-lh5-,940,231,431566
ABBS/Text/Conf_text/POST,-lh5-,940,236,431856
ABBS/Text/Conf_text/USERINFO,-lh5-,940,238,432155
ABBS/Text/download,-lh5-,295,123,432446
ABBS/Text/download.ansi,-lh5-,540,179,432627
ABBS/Text/download.raw,-lh5-,564,224,432863
ABBS/Text/expertmodehelp,-lh5-,567,312,433146
ABBS/Text/failedpassword,-lh0-,30,30,433517
ABBS/Text/filelist,-lh0-,53,53,433600
ABBS/Text/filemenu,-lh5-,814,300,433706
ABBS/Text/filemenu.ansi,-lh5-,1276,412,434064
ABBS/Text/filemenu.raw,-lh5-,1438,442,434533
ABBS/Text/globalmenu,-lh5-,624,302,435030
